Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2024-01-01,3702.44482421875,3722.748865906577,3665.430968440897,3681.946294829313,825907
2024-01-02,3675.340087890625,3702.4447950579743,3659.8448733372065,3702.4447950579743,1344068
2024-01-03,3586.497314453125,3664.3137389487097,3581.9313600260944,3659.601918749894,1803075
2024-01-04,3562.259033203125,3612.97075599101,3546.9094461207787,3596.2125560606937,3598144
2024-01-05,3631.33203125,3640.9013017132497,3570.079782311441,3570.22541092554,1963127
2024-01-08,3573.431396484375,3633.1294042366158,3567.699463686277,3631.3320530244678,1067805
2024-01-09,3584.7001953125,3645.3699243725832,3577.7541379650293,3604.1786136578194,1370944
2024-01-10,3607.1904296875,3622.9285177983875,3582.854561544668,3584.7975412418177,1292227
2024-01-11,3629.048828125,3665.431074283438,3601.3127464534073,3617.8280733187185,1777909
2024-01-12,3772.100830078125,3793.910729734483,3712.6456988035065,3738.292935924279,6813450
2024-01-15,3792.502197265625,3851.9573298002842,3774.238140296117,3847.0998804562737,2801505
2024-01-16,3751.21337890625,3787.838494652686,3745.6273129036203,3787.838494652686,1432672
2024-01-17,3773.849609375,3798.4767350462816,3703.853717445346,3710.1197796135352,3458696
2024-01-18,3791.33642578125,3797.3596154824213,3751.893842559141,3786.867477549335,2239110
2024-01-19,3839.487548828125,3859.44912521602,3812.2229566885608,3841.3862853778837,2941975
2024-01-23,3756.914794921875,3830.5777865241894,3741.821895467125,3797.5682499048307,2618854
2024-01-24,3740.89697265625,3781.6476594002056,3705.6477962212402,3778.093620029419,2657709
2024-01-25,3710.224365234375,3759.5927067674616,3679.45422882371,3739.0467929470733,2205154
2024-01-29,3701.16845703125,3719.669430639141,3681.547782743708,3700.973757486317,1646747
2024-01-30,3700.730224609375,3746.739223534862,3687.5360620279253,3707.4489039642863,1411621
2024-01-31,3715.72607421875,3733.3020482042025,3696.738231250575,3711.10083041881,2459358
2024-02-01,3752.922119140625,3802.33918966779,3705.1118546272237,3719.669151010243,2363107
2024-02-02,3862.126953125,3879.751422088452,3770.3036528762677,3773.2735935369424,2826510
2024-02-05,3868.943115234375,3916.3639841552226,3858.037325728202,3878.3883015639612,1691523
2024-02-06,4027.3701171875,4040.9049458458762,3885.2047310391986,3892.0208796901443,4474396
2024-02-07,3976.1513671875,4045.870922703787,3966.9496144396635,4043.923451742197,2124267
2024-02-08,4025.52001953125,4048.792202854569,3978.731981281588,3982.5781889550713,2345173
2024-02-09,4025.13037109375,4074.8393750314503,3992.315296643514,4027.905136727231,2100596
